Mes de defunción;Sexo;Edad;Total
julio;Mujeres;De 45 a 49 años;8
julio;Mujeres;De 50 a 54 años;8
julio;Mujeres;De 55 a 59 años;8
julio;Mujeres;De 60 a 64 años;6
julio;Mujeres;De 65 a 69 años;5
julio;Mujeres;De 70 a 74 años;9
julio;Mujeres;De 75 a 79 años;2
julio;Mujeres;De 80 a 84 años;9
julio;Mujeres;De 85 a 89 años;3
julio;Mujeres;De 90 a 94 años;1
julio;Mujeres;De 95 años y más;0
agosto;Ambos sexos;Todas las edades;300
agosto;Ambos sexos;Menores de 15 años;1
agosto;Ambos sexos;De 15 a 29 años;22
agosto;Ambos sexos;De 30 a 39 años;41
agosto;Ambos sexos;De 40 a 44 años;35
agosto;Ambos sexos;De 45 a 49 años;31
agosto;Ambos sexos;De 50 a 54 años;28
agosto;Ambos sexos;De 55 a 59 años;26
agosto;Ambos sexos;De 60 a 64 años;24
agosto;Ambos sexos;De 65 a 69 años;14
agosto;Ambos sexos;De 70 a 74 años;15
agosto;Ambos sexos;De 75 a 79 años;23
agosto;Ambos sexos;De 80 a 84 años;18
agosto;Ambos sexos;De 85 a 89 años;15
agosto;Ambos sexos;De 90 a 94 años;7
agosto;Ambos sexos;De 95 años y más;0
agosto;Hombres;Todas las edades;231
agosto;Hombres;Menores de 15 años;1
agosto;Hombres;De 15 a 29 años;17
agosto;Hombres;De 30 a 39 años;35
agosto;Hombres;De 40 a 44 años;28
agosto;Hombres;De 45 a 49 años;24
agosto;Hombres;De 50 a 54 años;24
agosto;Hombres;De 55 a 59 años;14
agosto;Hombres;De 60 a 64 años;18
agosto;Hombres;De 65 a 69 años;10
agosto;Hombres;De 70 a 74 años;12
agosto;Hombres;De 75 a 79 años;18
agosto;Hombres;De 80 a 84 años;13
agosto;Hombres;De 85 a 89 años;11
agosto;Hombres;De 90 a 94 años;6
agosto;Hombres;De 95 años y más;0
agosto;Mujeres;Todas las edades;69
agosto;Mujeres;Menores de 15 años;0
agosto;Mujeres;De 15 a 29 años;5
agosto;Mujeres;De 30 a 39 años;6
agosto;Mujeres;De 40 a 44 años;7
agosto;Mujeres;De 45 a 49 años;7
agosto;Mujeres;De 50 a 54 años;4
agosto;Mujeres;De 55 a 59 años;12
agosto;Mujeres;De 60 a 64 años;6
agosto;Mujeres;De 65 a 69 años;4
agosto;Mujeres;De 70 a 74 años;3
agosto;Mujeres;De 75 a 79 años;5
agosto;Mujeres;De 80 a 84 años;5
agosto;Mujeres;De 85 a 89 años;4
agosto;Mujeres;De 90 a 94 años;1
agosto;Mujeres;De 95 años y más;0
septiembre;Ambos sexos;Todas las edades;326
septiembre;Ambos sexos;Menores de 15 años;0
septiembre;Ambos sexos;De 15 a 29 años;24
septiembre;Ambos sexos;De 30 a 39 años;42
septiembre;Ambos sexos;De 40 a 44 años;23
septiembre;Ambos sexos;De 45 a 49 años;36
septiembre;Ambos sexos;De 50 a 54 años;42
septiembre;Ambos sexos;De 55 a 59 años;34
septiembre;Ambos sexos;De 60 a 64 años;24
septiembre;Ambos sexos;De 65 a 69 años;13
septiembre;Ambos sexos;De 70 a 74 años;18
septiembre;Ambos sexos;De 75 a 79 años;22
septiembre;Ambos sexos;De 80 a 84 años;19
septiembre;Ambos sexos;De 85 a 89 años;17
septiembre;Ambos sexos;De 90 a 94 años;9
septiembre;Ambos sexos;De 95 años y más;3
septiembre;Hombres;Todas las edades;254
septiembre;Hombres;Menores de 15 años;0
septiembre;Hombres;De 15 a 29 años;17
septiembre;Hombres;De 30 a 39 años;30
septiembre;Hombres;De 40 a 44 años;19
septiembre;Hombres;De 45 a 49 años;30
septiembre;Hombres;De 50 a 54 años;30
septiembre;Hombres;De 55 a 59 años;29
septiembre;Hombres;De 60 a 64 años;18
septiembre;Hombres;De 65 a 69 años;10
septiembre;Hombres;De 70 a 74 años;15
septiembre;Hombres;De 75 a 79 años;17
septiembre;Hombres;De 80 a 84 años;16
septiembre;Hombres;De 85 a 89 años;14
septiembre;Hombres;De 90 a 94 años;6
septiembre;Hombres;De 95 años y más;3
septiembre;Mujeres;Todas las edades;72
septiembre;Mujeres;Menores de 15 años;0
septiembre;Mujeres;De 15 a 29 años;7
septiembre;Mujeres;De 30 a 39 años;12
septiembre;Mujeres;De 40 a 44 años;4
septiembre;Mujeres;De 45 a 49 años;6
septiembre;Mujeres;De 50 a 54 años;12
septiembre;Mujeres;De 55 a 59 años;5
septiembre;Mujeres;De 60 a 64 años;6
septiembre;Mujeres;De 65 a 69 años;3
septiembre;Mujeres;De 70 a 74 años;3
septiembre;Mujeres;De 75 a 79 años;5
septiembre;Mujeres;De 80 a 84 años;3
septiembre;Mujeres;De 85 a 89 años;3
septiembre;Mujeres;De 90 a 94 años;3
septiembre;Mujeres;De 95 años y más;0
octubre;Ambos sexos;Todas las edades;297
octubre;Ambos sexos;Menores de 15 años;0
octubre;Ambos sexos;De 15 a 29 años;23
octubre;Ambos sexos;De 30 a 39 años;39
octubre;Ambos sexos;De 40 a 44 años;34
octubre;Ambos sexos;De 45 a 49 años;26
octubre;Ambos sexos;De 50 a 54 años;37
octubre;Ambos sexos;De 55 a 59 años;25
octubre;Ambos sexos;De 60 a 64 años;22
octubre;Ambos sexos;De 65 a 69 años;18
octubre;Ambos sexos;De 70 a 74 años;18
octubre;Ambos sexos;De 75 a 79 años;24
octubre;Ambos sexos;De 80 a 84 años;17
octubre;Ambos sexos;De 85 a 89 años;9
octubre;Ambos sexos;De 90 a 94 años;4
octubre;Ambos sexos;De 95 años y más;1
octubre;Hombres;Todas las edades;221
octubre;Hombres;Menores de 15 años;0
octubre;Hombres;De 15 a 29 años;16
octubre;Hombres;De 30 a 39 años;30
octubre;Hombres;De 40 a 44 años;28
octubre;Hombres;De 45 a 49 años;15
octubre;Hombres;De 50 a 54 años;26
octubre;Hombres;De 55 a 59 años;17
octubre;Hombres;De 60 a 64 años;17
octubre;Hombres;De 65 a 69 años;13
octubre;Hombres;De 70 a 74 años;11
octubre;Hombres;De 75 a 79 años;21
octubre;Hombres;De 80 a 84 años;16
octubre;Hombres;De 85 a 89 años;9
octubre;Hombres;De 90 a 94 años;1
octubre;Hombres;De 95 años y más;1
octubre;Mujeres;Todas las edades;76
octubre;Mujeres;Menores de 15 años;0
octubre;Mujeres;De 15 a 29 años;7
octubre;Mujeres;De 30 a 39 años;9
octubre;Mujeres;De 40 a 44 años;6
octubre;Mujeres;De 45 a 49 años;11
octubre;Mujeres;De 50 a 54 años;11
octubre;Mujeres;De 55 a 59 años;8
octubre;Mujeres;De 60 a 64 años;5
octubre;Mujeres;De 65 a 69 años;5
octubre;Mujeres;De 70 a 74 años;7
octubre;Mujeres;De 75 a 79 años;3
octubre;Mujeres;De 80 a 84 años;1
octubre;Mujeres;De 85 a 89 años;0
octubre;Mujeres;De 90 a 94 años;3
octubre;Mujeres;De 95 años y más;0
noviembre;Ambos sexos;Todas las edades;287
noviembre;Ambos sexos;Menores de 15 años;0
noviembre;Ambos sexos;De 15 a 29 años;28
noviembre;Ambos sexos;De 30 a 39 años;21
noviembre;Ambos sexos;De 40 a 44 años;25
noviembre;Ambos sexos;De 45 a 49 años;23
noviembre;Ambos sexos;De 50 a 54 años;36
noviembre;Ambos sexos;De 55 a 59 años;29
noviembre;Ambos sexos;De 60 a 64 años;28
noviembre;Ambos sexos;De 65 a 69 años;20
noviembre;Ambos sexos;De 70 a 74 años;19
noviembre;Ambos sexos;De 75 a 79 años;20
noviembre;Ambos sexos;De 80 a 84 años;21
noviembre;Ambos sexos;De 85 a 89 años;12
noviembre;Ambos sexos;De 90 a 94 años;3
noviembre;Ambos sexos;De 95 años y más;2
noviembre;Hombres;Todas las edades;208
noviembre;Hombres;Menores de 15 años;0
noviembre;Hombres;De 15 a 29 años;23
noviembre;Hombres;De 30 a 39 años;16
noviembre;Hombres;De 40 a 44 años;20
noviembre;Hombres;De 45 a 49 años;15
noviembre;Hombres;De 50 a 54 años;23
noviembre;Hombres;De 55 a 59 años;18
noviembre;Hombres;De 60 a 64 años;20
noviembre;Hombres;De 65 a 69 años;17
