Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;08 Castilla - La Mancha;Hombres;Todas las edades;115
Total Nacional;08 Castilla - La Mancha;Hombres;Menores de 15 años;0
Total Nacional;08 Castilla - La Mancha;Hombres;De 15 a 29 años;8
Total Nacional;08 Castilla - La Mancha;Hombres;De 30 a 39 años;10
Total Nacional;08 Castilla - La Mancha;Hombres;De 40 a 44 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 45 a 49 años;13
Total Nacional;08 Castilla - La Mancha;Hombres;De 50 a 54 años;14
Total Nacional;08 Castilla - La Mancha;Hombres;De 55 a 59 años;11
Total Nacional;08 Castilla - La Mancha;Hombres;De 60 a 64 años;11
Total Nacional;08 Castilla - La Mancha;Hombres;De 65 a 69 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 70 a 74 años;10
Total Nacional;08 Castilla - La Mancha;Hombres;De 75 a 79 años;8
Total Nacional;08 Castilla - La Mancha;Hombres;De 80 a 84 años;5
Total Nacional;08 Castilla - La Mancha;Hombres;De 85 a 89 años;7
Total Nacional;08 Castilla - La Mancha;Hombres;De 90 a 94 años;4
Total Nacional;08 Castilla - La Mancha;Hombres;De 95 años y más;0
Total Nacional;08 Castilla - La Mancha;Mujeres;Todas las edades;37
